PlotID	Latitude	Longitude	Ownership	Altitude	Slope	Exposition	Rocks.and.boulder.cover	Bedrock.type	Calcareous.bedrock	Sand	Silt	Clay	Soil.drainage	Soil.depth	Soil.type	Stand.origin	Current.management	Forest.structure	Age.distribution	Age.canopy.trees	RestrictedSpeciesRichness	SpeciesRichness_Focals	ShannonIndex_Focals	TrueShannonIndex_Focals	SimpsonsIndex_Focals	TrueSimpsonsIndex_Focals	PielousIndex_Focals	SpeciesRichness_All	ShannonIndex_All	TrueShannonIndex_All	SimpsonsIndex_All	TrueSimpsonsIndex_All	PielousIndex_All	SpeciesRichness_NonFocals	evergreen	coniferous	Country	Composition	Annual.Mean.T	Annual.Precip	timber_quality	productivity	biomass	regeneration_juveniles	regeneration_seedlings	wood_decomposition	litter_decomposition_all	microbial_biomass	pHFF	pH0.10cm	total_soil_C	total_soil_N	X13CD	X13CW	WUE_average	lack_insect_impact_plot	lack_browsing	no_pathogen_damage	root_biomass	bird_richness	bird_diversity	bat_richness	bat_diversity	earthworm_richness	earthworm_biomass	understorey_subplot_richness	understorey_subplot_diversity	understorey_plot_richness	understorey_plot_diversity	threshold_1	threshold_2	threshold_3	threshold_4	threshold_5	threshold_6	threshold_7	threshold_8	threshold_9	threshold_10	threshold_11	threshold_12	threshold_13	threshold_14	threshold_15	threshold_16	threshold_17	threshold_18	threshold_19	threshold_20	threshold_21	threshold_22	threshold_23	threshold_24	threshold_25	threshold_26	threshold_27	threshold_28	threshold_29	threshold_30	threshold_31	threshold_32	threshold_33	threshold_34	threshold_35	threshold_36	threshold_37	threshold_38	threshold_39	threshold_40	threshold_41	threshold_42	threshold_43	threshold_44	threshold_45	threshold_46	threshold_47	threshold_48	threshold_49	threshold_50	threshold_51	threshold_52	threshold_53	threshold_54	threshold_55	threshold_56	threshold_57	threshold_58	threshold_59	threshold_60	threshold_61	threshold_62	threshold_63	threshold_64	threshold_65	threshold_66	threshold_67	threshold_68	threshold_69	threshold_70	threshold_71	threshold_72	threshold_73	threshold_74	threshold_75	threshold_76	threshold_77	threshold_78	threshold_79	threshold_80	threshold_81	threshold_82	threshold_83	threshold_84	threshold_85	threshold_86	threshold_87	threshold_88	threshold_89	threshold_90	threshold_91	threshold_92	threshold_93	threshold_94	threshold_95	threshold_96	threshold_97	threshold_98	threshold_99
FIN01	62.55034	29.4316	state	87	1	NA	0	mica_schists	No	1	3	1	2	80	podzol	clear_cutting	low	single	even	45	2	3	0.562335145	1.754765351	0.542953161	1.841779497	0.811278124	3	0.562335145	1.754765351	0.542953161	1.841779497	0.811278124	0	1	1	Finland	Piab.Pisy	2.6	625	0.835820896	2.308932827	64.44078354	3	0	32.88273383	25.26270068	2526.36371	3.24	3.58	78.57701255	3.474072544	-26.27356286	-27.73653684	-26.27356286	-0.150767163	88.89	0.916666667	62.43869671	6	1.672625446	0	0	0	0	9.333333333	0.916314304	14	0.379994808	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13	13	13	12	12	12	12	12	12	12	12	12	12	12	12	11	10	10	10	9	9	9	9	9	8	8	8	8	8	6	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	1	1	1	0	0	0	0	0
FIN02	62.50149	29.19052	state	138	1	NA	5	mica_schists	No	1	3	1	2	80	podzol	clear_cutting	low	single	even	42	2	2	0.582492244	1.790495226	0.606508876	1.648780488	0.840358672	2	0.582492244	1.790495226	0.606508876	1.648780488	0.840358672	0	0.269230769	0.269230769	Finland	Be.Piab	2.4	638	1.057692308	1.976075831	46.6811564	0	0	27.11496353	27.85716015	5245.055924	4.19	3.53	113.2414598	5.20274485	-24.92470777	-27.02101093	-24.92470777	-0.938537169	70	0.46	25.79823925	12	2.36073609	1	0	2	0.465	13	1.021635179	18	1.038794928	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	12	11	10	9	9	8	8	8	8	8	8	8	8	8	7	7	7	6	6	6	6	6	6	6	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	1	1	1	1	1	1
FIN03	62.50114	29.19026	state	139	1	NA	5	mica_schists	No	1	3	1	2	80	podzol	clear_cutting	low	single	even	42	2	2	0.422709088	1.526090273	0.745	1.342281879	0.609840305	2	0.422709088	1.526090273	0.745	1.342281879	0.609840305	0	0.15	0.15	Finland	Be.Piab	2.4	638	0.95	1.489750393	38.53642836	1	0	23.47433414	25.64712421	570.3907224	3.92	3.51	96.38902635	4.768961883	-25.51769294	-26.82429037	-25.51769294	-1.725766408	83.61	0	25.06137502	10	2.150060224	2	0	2	0.626	10	1.328241174	14	1.557526697	15	14	14	14	14	13	13	13	13	13	13	13	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	11	11	11	11	11	11	11	11	11	11	11	10	10	10	10	8	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	6	6	6	6	5	5	5	5	5	5	4	4	4	4	4	4	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FIN04	62.50023	29.19081	state	138	1	NA	0	mica_schists	No	1	3	1	2	80	podzol	clear_cutting	low	single	even	42	2	2	0.673011667	1.960131704	0.52	1.923076923	0.970950594	2	0.673011667	1.960131704	0.52	1.923076923	0.970950594	0	0.6	0.6	Finland	Be.Piab	2.5	637	1.018181818	2.287045104	50.62505884	1	0	31.7286444	40.45829301	6807.26906	3.58	3.45	97.04121819	4.68860437	-25.1776167	-27.16595997	-25.1776167	-0.97448661	51.61	0.37	31.51071523	12	2.287773229	2	0	0	0	11	0.835185785	15	0.914067764	15	15	15	15	15	15	15	15	15	15	15	15	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13	12	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	7	7	7	6	6	5	5	5	5	4	4	4	3	3	3	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1
FIN05	62.53753	29.11871	state	114	2	S	15	mica_schists	No	1	3	1	2	70	podzol	clear_cutting	low	single	even	45	2	3	0.598269589	1.818968512	0.487179487	2.052631579	0.863120569	7	0.598269589	1.818968512	0.345405161	2.895150721	0.863120569	4	0.714285714	0.714285714	Finland	Be.Pisy	2.6	631	1.282608696	1.275772004	50.97428708	3	0	18.59002466	31.68442059	516.9786313	4.08	4.11	59.15626564	2.233625711	-25.42252515	-27.25969417	-25.42252515	-0.711229508	69.39	0.516666667	38.86413888	7	1.83437197	1	1	3	0.928	14.66666667	1.674411157	18	1.730830172	16	15	15	15	15	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	13	12	12	11	11	11	11	11	10	10	10	10	10	10	9	9	9	9	9	9	8	8	7	7	6	6	6	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	3	2	2	2	2	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
FIN06	62.64884	29.083	state	112	1	N	5	mica_schists	No	1	3	1	2	80	podzol	clear_cutting	low	single	even	47	1	2	0	1	0.950648934	1.051913029	NA	2	0	1	0.950648934	1.051913029	NA	0	1	1	Finland	Piab	2.5	631	1.443037975	3.069558319	86.14782915	222	0	39.80011377	23.95444151	1499.152855	2.95	3.14	97.73375227	4.356187542	-25.92390978	-27.05410529	-25.92390978	0	100	0.833333333	13.05453072	9	1.986731649	1	1	0	0	7.666666667	0.342419946	11	0.905712968	15	15	15	15	15	14	14	14	14	14	14	14	13	13	13	13	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	11	11	11	11	11	11	11	11	11	11	10	10	10	10	10	10	10	10	10	10	10	9	9	9	9	9	8	8	7	7	7	7	7	7	7	7	7	7	7	7	7	6	6	6	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4
FIN07	62.67324	29.58297	forest_company	120	1	NA	0	granites_and_granodiorites	No	1	3	1	2	80	podzol	clear_cutting	low	single	even	38	1	2	0	1	0.966676242	1.034472511	NA	4	0	1	0.904864284	1.105138105	NA	2	0	0	Finland	Be	2.3	625	1.540983607	1.867948152	47.34640323	0	1	45.71084331	48.38578056	782.0702737	4.24	4.1	65.8473502	3.066956325	-25.71826604	-27.45417031	-25.71826604	-1.682268813	95	0.013333333	63.54652832	6	1.672625446	1	1	7	49.672	15	0.538072853	23	0.589579847	15	14	14	14	14	14	14	14	13	13	13	13	13	13	13	13	13	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	11	11	11	11	9	9	9	9	9	8	8	8	8	8	8	8	8	7	7	7	7	7	7	7	7	7	6	6	6	6	6	6	6	5	5	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	2	2	2	2	2
FIN08	62.67422	29.58372	forest_company	120	1	NA	0	granites_and_granodiorites	No	1	3	1	2	80	podzol	clear_cutting	low	single	even	38	1	2	0	1	0.918515165	1.088713652	NA	3	0	1	0.881076389	1.134975369	NA	1	0	0	Finland	Be	2.3	624	1.416666667	1.694521655	44.17569031	1	1	16.20423092	55.93822335	364.5905172	4.05	3.88	71.83540815	3.288812631	NA	NA	NA	-1.227294477	94.05	0.01	56.27239788	5	1.546598686	1	1	6	28.013	21.66666667	1.567077194	29	1.662453061	14.93333333	14.93333333	14.93333333	13.86666667	13.86666667	13.86666667	13.86666667	13.86666667	13.86666667	13.86666667	13.86666667	13.86666667	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	11.73333333	11.73333333	11.73333333	11.73333333	11.73333333	11.73333333	11.73333333	11.73333333	11.73333333	10.66666667	10.66666667	10.66666667	10.66666667	10.66666667	10.66666667	10.66666667	10.66666667	10.66666667	10.66666667	10.66666667	10.66666667	10.66666667	9.6	8.533333333	8.533333333	7.466666667	7.466666667	7.466666667	7.466666667	7.466666667	6.4	6.4	6.4	5.333333333	5.333333333	5.333333333	5.333333333	5.333333333	4.266666667	4.266666667	4.266666667	4.266666667	4.266666667	4.266666667	4.266666667	4.266666667	4.266666667	4.266666667	4.266666667	4.266666667	4.266666667	4.266666667	4.266666667	4.266666667	4.266666667	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.2	2.133333333	2.133333333	2.133333333	1.066666667	1.066666667	1.066666667	1.066666667	1.066666667
FIN09	62.67724	29.68201	forest_company	119	1	NA	0	mica_schists	No	1	3	1	2	80	podzol	clear_cutting	low	single	even	49	1	3	0	1	0.932818074	1.072020395	NA	5	0	1	0.844665413	1.183900732	NA	2	1	1	Finland	Pisy	2.2	623	0.950819672	1.415432488	58.08569337	1	1	29.27190202	33.82684169	4955.417679	3.57	3.81	72.75606002	2.947249423	-26.07270525	-27.72530477	-26.07270525	0	92.05	1	37.02946635	6	1.667461933	1	0	2	0.204	14.66666667	1.304253635	24	1.378795293	15	15	15	15	15	15	15	15	15	15	15	15	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	12	12	12	11	11	11	11	10	8	8	8	8	8	8	6	6	5	5	5	5	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2
FIN10	62.69894	29.73966	forest_company	134	1	NA	0	mica_schists	No	1	3	1	2	80	podzol	clear_cutting	low	single	even	49	1	2	0	1	0.970156107	1.03076195	NA	3	0	1	0.941635108	1.061982493	NA	1	1	1	Finland	Piab	2.1	624	1.23880597	2.879411347	68.35692385	4	5	20.77966349	24.17399999	6397.612939	3.19	3.62	87.18858358	4.018194282	-25.94437339	-26.7175366	-25.94437339	-1.093164308	100	0.966666667	38.71737576	9	2.033662344	1	5.05E-25	0	0	9	1.43133718	13	1.794160219	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	14	14	14	14	13	13	13	13	13	12	12	12	12	11	11	11	11	11	11	10	10	10	10	10	10	10	10	10	10	9	9	9	9	8	8	8	8	7	7	7	6	5	5	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	1	1	1
